Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,tester
1970_C1,1970_C1_amen_meb_47.06%,codeforces2024,human,qwen2p5-72b-instruct,"This is the easy version of the problem. The difference in this version is
that t=1 and we work on an array-like tree.

Ron and Hermione are playing a game on a tree of n nodes that are initially
inactive. This tree is special because it has exactly two leaves. It can thus
be seen as an array. The game consists of t rounds, each of which starts with
a stone on exactly one node, which is considered as activated. A move consists
of picking an inactive neighbor of the node with a stone on it and moving the
stone there (thus activating this neighbor). Ron makes the first move, after
which he alternates with Hermione until no valid move is available. The player
that cannot make a move loses the round. If both players play optimally, who
wins each round of this game?

Note that all the rounds are played with the same tree; only the starting node
changes. Moreover, after each round, all active nodes are considered inactive
again.

Input

The first line contains integers n (2 \leq n \leq 2\times 10^5 ), t (t=1 ),
the number of nodes in the tree and the number of rounds, respectively.

The next n-1 lines contain two integers 1 \leq u, v \leq n each, corresponding
to an edge of the tree. It is guaranteed that the tree has exactly two leaves.

The next line contains t integers 1 \leq u_1 , \dots, u_t \leq n ,
corresponding to the node where the stone is initially put.

Output

The output consists of t=1 line which is either ""Ron"" or ""Hermione"".

Examples

Input

    3 1
    
    2 3
    
    3 1
    
    3

Output

    Ron
    
Input

    5 1
    
    1 2
    
    2 3
    
    3 4
    
    4 5
    
    5

Output

    Hermione","def accept_numbers():
    numbers = []
 
    while True:
        nums = input().split()
        if len(nums) != 2:
            break
            
        num1 = int(nums[0])
        num2 = int(nums[1])
 
        numbers.append([num1, num2])
    return numbers
 
result = accept_numbers()
Ron_co=0
Hib_co=0
for sublist in result:
    num_1 = sublist[0]
    num_2 = sublist[1]
    if num_1 > num_2:
        Ron_co+=1
    elif num_1 == num_2:
        continue
    else:
        Hib_co+=1
 
if Ron_co>Hib_co:
    print(""Ron"")
else:
    print(""Hermione"")",1,False,False
1980_B,1980_B_prosenjit_mondol_100%,codeforces2024,human,qwen2p5-72b-instruct,"Dmitry has n cubes, numbered from left to right from 1 to n . The cube with
index f is his favorite.

Dmitry threw all the cubes on the table, and the i -th cube showed the value
a_i (1 \le a_i \le 100 ). After that, he arranged the cubes in non-increasing
order of their values, from largest to smallest. If two cubes show the same
value, they can go in any order.

After sorting, Dmitry removed the first k cubes. Then he became interested in
whether he removed his favorite cube (note that its position could have
changed after sorting).

For example, if n=5 , f=2 , a = [4, \color{green}3, 3, 2, 3] (the favorite
cube is highlighted in green), and k = 2 , the following could have happened:

  * After sorting a=[4, \color{green}3, 3, 3, 2] , since the favorite cube ended up in the second position, it will be removed. 
  * After sorting a=[4, 3, \color{green}3, 3, 2] , since the favorite cube ended up in the third position, it will not be removed. 

Input

The first line contains an integer t (1 \le t \le 1000 ) — the number of test
cases. Then follow the descriptions of the test cases.

The first line of each test case description contains three integers n , f ,
and k (1 \le f, k \le n \le 100 ) — the number of cubes, the index of Dmitry's
favorite cube, and the number of removed cubes, respectively.

The second line of each test case description contains n integers a_i (1 \le
a_i \le 100 ) — the values shown on the cubes.

Output

For each test case, output one line — ""YES"" if the cube will be removed in all
cases, ""NO"" if it will not be removed in any case, ""MAYBE"" if it may be either
removed or left.

You can output the answer in any case. For example, the strings ""YES"", ""nO"",
""mAyBe"" will be accepted as answers.

Example

Input

    12
    
    5 2 2
    
    4 3 3 2 3
    
    5 5 3
    
    4 2 1 3 5
    
    5 5 2
    
    5 2 4 1 3
    
    5 5 5
    
    1 2 5 4 3
    
    5 5 4
    
    3 1 2 4 5
    
    5 5 5
    
    4 3 2 1 5
    
    6 5 3
    
    1 2 3 1 2 3
    
    10 1 1
    
    1 1 1 1 1 1 1 1 1 1
    
    1 1 1
    
    42
    
    5 2 3
    
    2 2 1 1 2
    
    2 1 1
    
    2 1
    
    5 3 1
    
    3 3 2 3 2

Output

    MAYBE
    YES
    NO
    YES
    YES
    YES
    MAYBE
    MAYBE
    YES
    YES
    YES
    NO","for _ in range(int(input())):
    n,f,k = map(int,input().split())
    f-=1
    k-=1
    a=list(map(int,input().split()))
    x=a[f]
    a.sort(reverse=True)
    if a[k] > x:
        print(""NO"")
    elif a[k] < x:
        print(""YES"")
    else:
        print(""YES"" if k==n-1 or a[k+1]<x else ""MAYBE"")",1,True,False
1966_B,1966_B_AngryBiceps_6.67%,codeforces2024,human,qwen2p5-72b-instruct,"There is an n \times m grid of white and black squares. In one operation, you
can select any two squares of the same color, and color all squares in the
subrectangle between them that color.

Formally, if you select positions (x_1, y_1) and (x_2, y_2) , both of which
are currently the same color c , set the color of all (x, y) where \min(x_1,
x_2) \le x \le \max(x_1, x_2) and \min(y_1, y_2) \le y \le \max(y_1, y_2) to c
.

This diagram shows a sequence of two possible operations on a grid:

![](https://espresso.codeforces.com/efe0d6bfa2062b4821f73fb07120103af504fb62.png)

Is it possible for all squares in the grid to be the same color, after
performing any number of operations (possibly zero)?

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. The description of the test cases follows.

The first line of each test case contains two integers n and m (1 \le n, m \le
500 ) — the number of rows and columns in the grid, respectively.

Each of the next n lines contains m characters 'W' and 'B' — the initial
colors of the squares of the grid.

It is guaranteed that the sum of n\cdot m over all test cases does not exceed
3\cdot 10^5 .

Output

For each test case, print ""YES"" if it is possible to make all squares in the
grid the same color, and ""NO"" otherwise.

You can output the answer in any case (upper or lower). For example, the
strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive
responses.

Example

Input

    8
    
    2 1
    
    W
    
    B
    
    6 6
    
    WWWWBW
    
    WBWWWW
    
    BBBWWW
    
    BWWWBB
    
    WWBWBB
    
    BBBWBW
    
    1 1
    
    W
    
    2 2
    
    BB
    
    BB
    
    3 4
    
    BWBW
    
    WBWB
    
    BWBW
    
    4 2
    
    BB
    
    BB
    
    WW
    
    WW
    
    4 4
    
    WWBW
    
    BBWB
    
    WWBB
    
    BBBB
    
    1 5
    
    WBBWB

Output

    NO
    YES
    YES
    YES
    YES
    NO
    YES
    NO
    
Note

In the first example, it is impossible to ever change the color of any square
with an operation, so we output NO.

The second example is the case pictured above. As shown in that diagram, it is
possible for all squares to be white after two operations, so we output YES.

In the third and fourth examples, all squares are already the same color, so
we output YES.

In the fifth example we can do everything in two operations. First, select
positions (2, 1) and (1, 4) and color all squares with 1 \le x \le 2 and 1 \le
y \le 4 to white. Then, select positions (2, 1) and (3, 4) and color all
squares with 2 \le x \le 3 and 1 \le y \le 4 to white. After these two
operations all squares are white.","for _ in range(int(input())):
    n, m = map(int, input().split())
    a = []
 
    first_row = ''
    last_row = ''
 
    for i in range(n):
        a.append(input())
        first_row += a[-1][0]
        last_row += a[-1][-1]
 
    if len(set(a[0])) == 1 and a[0] != a[-1]:
        print('NO')
    elif len(set(first_row)) == 1 and first_row != last_row:
        print('NO')
    else:
        print('YES')",1,False,False
1973_A,1973_A_rcd_100%,codeforces2024,human,qwen2p5-72b-instruct,"Three friends gathered to play a few games of chess together.

In every game, two of them play against each other. The winner gets 2 points
while the loser gets 0 , and in case of a draw, both players get 1 point each.
Note that the same pair of players could have played any non-negative number
of times (possibly zero). It is also possible that no games were played at
all.

You've been told that their scores after all the games were played were p_1 ,
p_2 and p_3 . Additionally, it is guaranteed that p_1 \leq p_2 \leq p_3 holds.

Find the maximum number of draws that could have happened and print it. If
there isn't any way to obtain p_1 , p_2 and p_3 as a result of a non-negative
number of games between the three players, print -1 instead.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 500 ). The description of the test cases follows.

The first line of each test case contains three integers p_1 , p_2 and p_3 (0
\leq p_1 \leq p_2 \leq p_3 \leq 30 ) — the scores of the three players, sorted
non-decreasingly.

Output

For each testcase, print one number — the maximum possible number of draws
that could've happened, or -1 if the scores aren't consistent with any valid
set of games and results.

Example

Input

    7
    
    0 0 0
    
    0 1 1
    
    1 1 1
    
    1 1 2
    
    3 3 3
    
    3 4 5
    
    1 1 10

Output

    0
    1
    -1
    2
    -1
    6
    2
    
Note

In the first example, no games were played at all, so no draws could occur
either.

For the second example, exactly one game occurred between the second and the
third player and it ended in draw, so the answer is 1 .

It's easy to see that there's no set of games achieving the scores in third
example, so the answer for it is -1 .","t=int(input())
for _ in range(t):
    p1,p2,p3=map(int,input().split())
    if (p1+p2+p3)%2!=0:
        print(-1)
        continue
    if p3>=p1+p2:
        print(p1+p2)
    else:
        x=0
        y=p3
        while y>=x:
            if p1-x<=p2-(y):
                print(p1-x+p3)
                break
            else:
                x+=1
                y-=1
        else:
            print(p3)",1,True,False
1927_B,1927_B_bubika_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"Polycarp lost the string s of length n consisting of lowercase Latin letters,
but he still has its trace.

The trace of the string s is an array a of n integers, where a_i is the number
of such indices j (j < i ) that s_i=s_j . For example, the trace of the string
abracadabra is the array [0, 0, 0, 1, 0, 2, 0, 3, 1, 1, 4 ].

Given a trace of a string, find any string s from which it could have been
obtained. The string s should consist only of lowercase Latin letters a-z.

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. Then the descriptions of the test cases follow.

The first line of each test case contains a single integer n (1 \le n \le 2
\cdot 10^5 ) — the length of the lost string.

The second line of each test case contains n integers a_1, a_2, \dots, a_n (0
\le a_i < n ) — the trace of the string. It is guaranteed that for the given
trace, there exists a suitable string s .

It is guaranteed that the sum of n over all test cases does not exceed 2 \cdot
10^5 .

Output

For each test case, output a string s that corresponds to the given trace. If
there are multiple such strings s , then output any of them.

The string s should consist of lowercase Latin letters a-z.

It is guaranteed that for each test case, a valid answer exists.

Example

Input

    5
    
    11
    
    0 0 0 1 0 2 0 3 1 1 4
    
    10
    
    0 0 0 0 0 1 0 1 1 0
    
    1
    
    0
    
    8
    
    0 1 2 3 4 5 6 7
    
    8
    
    0 0 0 0 0 0 0 0

Output

    abracadabra
    codeforces
    a
    aaaaaaaa
    dijkstra","a='abcdefghijklmnopqrstuvwxyz'
b=[0]*26
for t in range(int(input())):
  n=int(input())
  s=list(map(int,input().split()))
  r=''
  for i in s:
    
    x=b.index(i)
  
    r+=a[x]
    b[x]+=1
  print(r)",1,False,False
1921_A,1921_A_KartheKeyan_100%,codeforces2024,human,qwen2p5-72b-instruct,"A square of positive (strictly greater than 0 ) area is located on the
coordinate plane, with sides parallel to the coordinate axes. You are given
the coordinates of its corners, in random order. Your task is to find the area
of the square.

Input

Each test consists of several testcases. The first line contains one integer t
(1 \le t \le 100 ) — the number of testcases. The following is a description
of the testcases.

Each testcase contains four lines, each line contains two integers x_i, y_i
(-1000\le x_i, y_i\le 1000 ), coordinates of the corners of the square.

It is guaranteed that there is a square with sides parallel to the coordinate
axes, with positive (strictly greater than 0 ) area, with corners in given
points.

Output

For each test case, print a single integer, the area of the square.

Example

Input

    3
    
    1 2
    
    4 5
    
    1 5
    
    4 2
    
    -1 1
    
    1 -1
    
    1 1
    
    -1 -1
    
    45 11
    
    45 39
    
    17 11
    
    17 39

Output

    9
    4
    784","""""""
n = int(input())
 
while n :
    
    l = int(input())
    s = 0
    s += (l//4)+(l-(4*(l//4)))//2
    print(s)
    n-=1
 
        
""""""
import math
n = int(input())
while n:
 
    coord = []
    res = 0
    for i in range(4):
        (x,y) = map(int,input().split())
        coord.append((x,y))
    coord = sorted(coord)
    p1 = ((coord[1][0] - coord[0][0])**2) + ((coord[1][1] - coord[0][1])**2)
    p2 = ((coord[3][0] - coord[2][0])**2) + ((coord[3][1] - coord[2][1])**2) 
    res = math.sqrt(p1)* math.sqrt(p2)
    print(round(res))
 
    n-=1",1,True,False
1921_B,1921_B_karan_singh_coder_7.69%,codeforces2024,human,qwen2p5-72b-instruct,"In order to test the hypothesis about the cats, the scientists must arrange
the cats in the boxes in a specific way. Of course, they would like to test
the hypothesis and publish a sensational article as quickly as possible,
because they are too engrossed in the next hypothesis about the phone's
battery charge.

Scientists have n boxes in which cats may or may not sit. Let the current
state of the boxes be denoted by the sequence b_1, \dots, b_n : b_i = 1 if
there is a cat in box number i , and b_i = 0 otherwise.

Fortunately, the unlimited production of cats has already been established, so
in one day, the scientists can perform one of the following operations:

  * Take a new cat and place it in a box (for some i such that b_i = 0 , assign b_i = 1 ). 
  * Remove a cat from a box and send it into retirement (for some i such that b_i = 1 , assign b_i = 0 ). 
  * Move a cat from one box to another (for some i, j such that b_i = 1, b_j = 0 , assign b_i = 0, b_j = 1 ). 

It has also been found that some boxes were immediately filled with cats.
Therefore, the scientists know the initial position of the cats in the boxes
s_1, \dots, s_n and the desired position f_1, \dots, f_n .

Due to the large amount of paperwork, the scientists do not have time to solve
this problem. Help them for the sake of science and indicate the minimum
number of days required to test the hypothesis.

Input

Each test consists of several test cases. The first line contains a single
integer t (1 \le t \le 10^4 ) — the number of test cases. This is followed by
descriptions of the test cases.

Each test case consists of three lines.

The first line of each test case contains a single integer n (1 \le n \le 10^5
) — the number of boxes.

The second line of each test case contains a string s of n characters, where
the i -th character is '1' if there is a cat in the i -th box and '0'
otherwise.

The third line of each test case contains a string f of n characters, where
the i -th character is '1' if there should be a cat in the i -th box and '0'
otherwise.

It is guaranteed that in a test the sum of n over all test cases does not
exceed 10^5 .

Output

For each test case, output a single integer on a separate line — the minimum
number of operations required to obtain the desired position from the initial
position. It can be shown that a solution always exists.

Example

Input

    6
    
    5
    
    10010
    
    00001
    
    1
    
    1
    
    1
    
    3
    
    000
    
    111
    
    4
    
    0101
    
    1010
    
    3
    
    100
    
    101
    
    8
    
    10011001
    
    11111110

Output

    2
    0
    3
    2
    1
    4
    
Note

In the first test case, you can first move the cat from the first box to the
fifth, and then remove the cat from the fourth box.

In the second test case, there is nothing to do — the only cat is already
sitting in the correct box.

In the third test case of input data, it takes three days to place a cat in
each box.","for _ in range(int(input())):
  n=int(input())
  s=input()
  t=input()
  s1=s.count('1');t1=t.count('1')
  cnt=0
  for i in range(n):
    cnt+=s[i]!=t[i]
  if s1==t1:
    print(s1 if cnt else 0)
  else:
    d=abs(s1-t1)
    print((cnt-d)//2+d)",1,False,False
1969_A,1969_A_vedhasree0709_100%,codeforces2024,human,qwen2p5-72b-instruct,"Monocarp wants to throw a party. He has n friends, and he wants to have at
least 2 of them at his party.

The i -th friend's best friend is p_i . All p_i are distinct, and for every i
\in [1, n] , p_i \ne i .

Monocarp can send invitations to friends. The i -th friend comes to the party
if both the i -th friend and the p_i -th friend receive an invitation (note
that the p_i -th friend doesn't have to actually come to the party). Each
invitation is sent to exactly one of the friends.

For example, if p = [3, 1, 2, 5, 4] , and Monocarp sends invitations to the
friends [1, 2, 4, 5] , then the friends [2, 4, 5] will come to the party. The
friend 1 won't come since his best friend didn't receive an invitation; the
friend 3 won't come since he didn't receive an invitation.

Calculate the minimum number of invitations Monocarp has to send so that at
least 2  friends come to the party.

Input

The first line contains one integer t (1 \le t \le 5000 ) — the number of test
cases.

Each test case consists of two lines:

  * the first line contains one integer n (2 \le n \le 50 ) — the number of friends; 
  * the second line contains n integers p_1, p_2, \dots, p_n (1 \le p_i \le n ; p_i \ne i ; all p_i are distinct). 

Output

Print one integer — the minimum number of invitations Monocarp has to send.

Example

Input

    3
    
    5
    
    3 1 2 5 4
    
    4
    
    2 3 4 1
    
    2
    
    2 1

Output

    2
    3
    2
    
Note

In the first testcase, Monocarp can send invitations to friends 4 and 5 . Both
of them will come to the party since they are each other's best friends, and
both of them have invitations.

In the second testcase, Monocarp can send invitations to friends 1, 2 and 3 ,
for example. Then friends 1 and 2 will attend: friend 1 and his best friend 2
have invitations, friend 2 and his best friend 3 have invitations. Friend 3
won't attend since his friend 4 doesn't have an invitation. It's impossible to
send invitations to fewer than 3 friends in such a way that at least 2 come.

In the third testcase, Monocarp can send invitations to both friends 1 and 2 ,
and both of them will attend.","for _ in range(int(input())):
    n=int(input())
    l=list(map(int,input().split()))
    i=0
    j=0
    while(i<=n-1):
        p=l[i]
        q=l[p-1]
        if(q==i+1):
            print(2)
            j=1
            break
        i+=1
    if(j==0):
        print(3)",1,True,False
1945_B,1945_B_Bataineh_14.29%,codeforces2024,human,qwen2p5-72b-instruct,"One of the days of the hike coincided with a holiday, so in the evening at the
camp, it was decided to arrange a festive fireworks display. For this purpose,
the organizers of the hike bought two installations for launching fireworks
and a huge number of shells for launching.

Both installations are turned on simultaneously. The first installation
launches fireworks every a minutes (i.e., after a, 2 \cdot a, 3 \cdot a, \dots
minutes after launch). The second installation launches fireworks every b
minutes (i.e., after b, 2 \cdot b, 3 \cdot b, \dots minutes after launch).

Each firework is visible in the sky for m + 1 minutes after launch, i.e., if a
firework was launched after x minutes after the installations were turned on,
it will be visible every minute from x to x + m , inclusive. If one firework
was launched m minutes after another, both fireworks will be visible for one
minute.

What is the maximum number of fireworks that could be seen in the sky at the
same time?

Input

Each test consists of several test cases. The first line contains a single
integer t (1 \le t \le 10^4 ) — the number of test cases. Then follow the
descriptions of the test cases.

The first and only line of each test case contains integers a , b , m (1 \le
a, b, m \le 10^{18} ) — the frequency of launching for the first installation,
the second installation, and the time the firework is visible in the sky.

Output

For each set of input data, output a single number — the maximum number of
fireworks that can be seen simultaneously.

Example

Input

    6
    
    6 7 4
    
    3 4 10
    
    7 8 56
    
    5 6 78123459896
    
    1 1 1
    
    1 1 1000000000000000000

Output

    2
    7
    17
    28645268630
    4
    2000000000000000002
    
Note

In the first set of input data, the fireworks are visible in the sky for 5
minutes. Since the first installation launches fireworks every 6 minutes, and
the second one every 7 minutes, two fireworks launched from the same
installation will not be visible in the sky at the same time. At the same
time, after 7 minutes from the start of the holiday, one firework from the
first and one from the second camp will be visible. Thus, it is possible to
see no more than 2 fireworks simultaneously.

In the third set of input data, 17 fireworks will be visible after 112
minutes:

  * 9 fireworks launched from the first installation at times [56, 63, 70, 77, 84, 91, 98, 105, 112 ]; 
  * 8 fireworks launched from the second installation at times [56, 64, 72, 80, 88, 96, 104, 112 ].","t = int(input())
 
for i in range(t):
    a, b, m = map(int, input().split())
 
    if m < a or m < b:
        print(2)
    
    else:
        print(m//a + m//b + 2)",1,False,False
1955_C,1955_C_Luv985_3.33%,codeforces2024,human,qwen2p5-72b-instruct,"n ships set out to explore the depths of the ocean. The ships are numbered
from 1 to n and follow each other in ascending order; the i -th ship has a
durability of a_i .

The Kraken attacked the ships k times in a specific order. First, it attacks
the first of the ships, then the last, then the first again, and so on.

Each attack by the Kraken reduces the durability of the ship by 1 . When the
durability of the ship drops to 0 , it sinks and is no longer subjected to
attacks (thus the ship ceases to be the first or last, and the Kraken only
attacks the ships that have not yet sunk). If all the ships have sunk, the
Kraken has nothing to attack and it swims away.

For example, if n=4 , k=5 , and a=[1, 2, 4, 3] , the following will happen:

  1. The Kraken attacks the first ship, its durability becomes zero and now a = [2, 4, 3] ; 
  2. The Kraken attacks the last ship, now a = [2, 4, 2] ; 
  3. The Kraken attacks the first ship, now a = [1, 4, 2] ; 
  4. The Kraken attacks the last ship, now a = [1, 4, 1] ; 
  5. The Kraken attacks the first ship, its durability becomes zero and now a = [4, 1] . 

How many ships were sunk after the Kraken's attack?

Input

The first line contains an integer t (1 \le t \le 10^4 ) — the number of test
cases.

The first line of each test case contains two integers n and k (1 \le n \le 2
\cdot 10^5 , 1 \le k \le 10^{15} ) — the number of ships and how many times
the Kraken will attack the ships.

The second line of each test case contains n integers a_1, a_2, \dots, a_n (1
\le a_i \le 10^9 ) — the durability of the ships.

It is guaranteed that the sum of n for all test cases does not exceed 2 \cdot
10^5 .

Output

For each test case, output the number of ships sunk by the Kraken on a
separate line.

Example

Input

    6
    
    4 5
    
    1 2 4 3
    
    4 6
    
    1 2 4 3
    
    5 20
    
    2 7 1 8 2
    
    2 2
    
    3 2
    
    2 15
    
    1 5
    
    2 7
    
    5 2

Output

    2
    3
    5
    0
    2
    2","# -*- coding: utf-8 -*-
""""""
    @Time : 2024/8/26 17:59
    @Author : Zhiliang.L
    @Email : 2410103062@mails.edu.cn
    @File : 1955-C.py
""""""
T = int(input())
while T:
    T -= 1
    n, k = input().split()
    n = int(n)
    k = int(k)
    a = input().split()
    a = list(map(lambda x: int(x), a))
    l = 0
    r = n - 1
    ans = 0
    while l < r and k > 0:
        mi = min(a[l], a[r])
        if mi * 2 <= k:
            a[l] -= mi
            a[r] -= mi
            k -= (mi * 2)
            if a[l] == 0:
                ans += 1
                l += 1
            if a[r] == 0:
                ans += 1
                r -= 1
        else:
            t = k % 2
            if mi - t - k // 2 == 0:
                ans += 1
            break
    if l == r:
        ans += (k >= a[l])
    print(ans)",1,False,False
1955_F,1955_F_Slata_100%,codeforces2024,human,qwen2p5-72b-instruct,"Alice and Bob gathered in the evening to play an exciting game on a sequence
of n integers, each integer of the sequence doesn't exceed 4 . The rules of
the game are too complex to describe, so let's just describe the winning
condition — Alice wins if the [bitwise XOR](http://tiny.cc/xor_wiki_eng) of
all the numbers in the sequence is non-zero; otherwise, Bob wins.

The guys invited Eve to act as a judge. Initially, Alice and Bob play with n
numbers. After one game, Eve removes one of the numbers from the sequence,
then Alice and Bob play with n-1 numbers. Eve removes one number again, after
which Alice and Bob play with n - 2 numbers. This continues until the sequence
of numbers is empty.

Eve seems to think that in such a game, Alice almost always wins, so she wants
Bob to win as many times as possible. Determine the maximum number of times
Bob can win against Alice if Eve removes the numbers optimally.

Input

The first line contains an integer t (1 \le t \le 10^4 ) — the number of test
cases.

The first and only line of each test case contains four integers p_i (0 \le
p_i \le 200 ) — the number of ones, twos, threes, and fours in the sequence at
the beginning of the game.

Output

For each test case, print the maximum number of times Bob will win in a
separate line, if Eve removes the numbers optimally.

Example

Input

    5
    
    1 1 1 0
    
    1 0 1 2
    
    2 2 2 0
    
    3 3 2 0
    
    0 9 9 9

Output

    1
    1
    3
    3
    12
    
Note

In the first example, Bob wins when Eve has not removed any numbers yet.

In the second example, Bob wins if Eve removes one one and one three.","for i in range(int(input())):
  a,b,c,d=map(int,input().split())
  print(a//2+b//2+c//2+d//2+int(a%2+b%2+c%2==3))",1,True,False
